source,model,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
de,mapo_enesru_llama3_8b_w-reinforce,17.82609,1.348361,community,1717,143,661,1,805,17.82609,16.90886,0.257286
de,mapo_enesru_llama3_8b_ppo,11.61491,1.124837,community,1257,92,710,3,805,11.61491,14.66794,0.249739
de,mapo_enesru_llama3_8b_sft,7.329193,0.914906,community,992,58,745,2,805,7.329193,10.6228,0.235683
de,mapo_enesru_llama3_8b_npo,2.484472,0.548941,community,4591,20,785,0,805,2.484472,0.649902,0.035232
de,mapo_enesru_llama3_8b_dpo_250426,17.45342,1.33719,community,1659,140,664,1,805,17.45342,15.45819,0.206592
de,mapo_enesru_llama3_8b_npo_checkpoint-1,16.02484,1.290743,community,1746,128,675,2,805,16.02484,13.8002,0.19591
de,mapo_enesru_llama3_8b_npo_checkpoint-3,16.27329,1.298822,community,1712,130,673,2,805,16.27329,13.75669,0.216047
de,mapo_enesru_llama3_8b_npo_checkpoint-5,14.90683,1.252986,community,1715,119,684,2,805,14.90683,13.17141,0.195405
de,mapo_enesru_llama3_8b_npo_checkpoint-4,14.65839,1.24427,community,1728,117,686,2,805,14.65839,13.02227,0.184501
de,mapo_enesru_llama3_8b_npo_checkpoint-2,14.53416,1.239866,community,1698,116,687,2,805,14.53416,12.2178,0.151417
en,mapo_enesru_llama3_8b_w-reinforce,20,1.40795,community,1593,160,643,2,805,20,20.66297,0.367356
en,mapo_enesru_llama3_8b_ppo,10.49689,1.075616,community,1285,83,719,3,805,10.49689,14.17,0.306767
en,mapo_enesru_llama3_8b_sft,7.080745,0.896036,community,987,55,746,4,805,7.080745,12.24196,0.274065
en,mapo_enesru_llama3_8b_npo,13.41615,1.202,community,4516,108,697,0,805,13.41615,5.871602,0.021114
en,mapo_enesru_llama3_8b_dpo_250426,20.80745,1.427553,community,1579,166,636,3,805,20.807457,21.8063,0.354083
en,mapo_enesru_llama3_8b_npo_checkpoint-5,21.36646,1.442906,community,1650,171,632,2,805,21.36646,21.70496,0.283672
en,mapo_enesru_llama3_8b_npo_checkpoint-1,20.80745,1.427553,community,1640,166,636,3,805,20.80745,20.45093,0.302945
en,mapo_enesru_llama3_8b_npo_checkpoint-4,20.37267,1.415004,community,1695,162,639,4,805,20.37267,20.3902,0.305849
en,mapo_enesru_llama3_8b_npo_checkpoint-2,20.06211,1.408223,community,1658,160,642,3,805,20.06211,20.0189,0.286085
en,mapo_enesru_llama3_8b_npo_checkpoint-3,19.00621,1.378117,community,1650,151,650,4,805,19.00621,19.01228,0.313874
es,mapo_enesru_llama3_8b_w-reinforce,17.08075,1.325795,community,1575,137,667,1,805,17.08075,16.74855,0.193263
es,mapo_enesru_llama3_8b_ppo,10.43478,1.063733,community,1176,80,717,8,805,10.43478,14.62493,0.266472
es,mapo_enesru_llama3_8b_sft,8.944099,0.994875,community,1031,69,730,6,805,8.944099,13.43467,0.304058
es,mapo_enesru_llama3_8b_npo,1.36646,0.409433,community,4646,11,794,0,805,1.36646,0.34205,0.019172
es,mapo_enesru_llama3_8b_dpo_250426,15.83851,1.283107,community,1585,126,676,3,805,15.83851,14.77779,0.261953
es,mapo_enesru_llama3_8b_npo_checkpoint-1,16.8323,1.318071,community,1644,135,669,1,805,16.8323,15.49713,0.228433
es,mapo_enesru_llama3_8b_npo_checkpoint-2,16.21118,1.298301,community,1638,130,674,1,805,16.21118,15.45919,0.244547
es,mapo_enesru_llama3_8b_npo_checkpoint-4,16.70807,1.31417,community,1670,134,670,1,805,16.70807,15.19667,0.234682
es,mapo_enesru_llama3_8b_npo_checkpoint-3,16.77019,1.314655,community,1675,134,669,2,805,16.77019,15.08034,0.222281
es,mapo_enesru_llama3_8b_npo_checkpoint-5,15.59006,1.277849,community,1679,125,679,1,805,15.59006,14.3043,0.251262
fr,mapo_enesru_llama3_8b_ppo,11.42857,1.108201,community,1274,88,709,8,805,11.42857,14.7462,0.274545
fr,mapo_enesru_llama3_8b_w-reinforce,17.32919,1.330517,community,1642,138,664,3,805,17.32919,14.39127,0.27345
fr,mapo_enesru_llama3_8b_sft,9.006211,0.999988,community,1098,70,730,5,805,9.006211,12.50832,0.266127
fr,mapo_enesru_llama3_8b_npo,1.863354,0.476909,community,4702,15,790,0,805,1.863354,0.562291,0.025701
fr,mapo_enesru_llama3_8b_dpo_250426,18.32298,1.360078,community,1628,146,656,3,805,18.32298,16.19124,0.251609
fr,mapo_enesru_llama3_8b_npo_checkpoint-5,19.44099,1.39153,community,1768,155,647,3,805,19.44099,16.68882,0.280928
fr,mapo_enesru_llama3_8b_npo_checkpoint-3,18.57143,1.367228,community,1743,148,654,3,805,18.57143,15.9363,0.194207
fr,mapo_enesru_llama3_8b_npo_checkpoint-4,17.63975,1.338481,community,1757,140,661,4,805,17.63975,15.27184,0.205837
fr,mapo_enesru_llama3_8b_npo_checkpoint-2,17.57764,1.338055,community,1763,140,662,3,805,17.57764,15.21969,0.230307
fr,mapo_enesru_llama3_8b_npo_checkpoint-1,17.57764,1.338055,community,1741,140,662,3,805,17.57764,14.36974,0.236761
ru,mapo_enesru_llama3_8b_w-reinforce,18.75776,1.373936,community,1571,150,653,2,805,18.75776,13.72104,0.221196
ru,mapo_enesru_llama3_8b_ppo,9.751553,1.040681,community,1170,77,725,3,805,9.751553,10.47956,0.25564
ru,mapo_enesru_llama3_8b_sft,7.515528,0.92354,community,991,59,743,3,805,7.515528,9.04754,0.252902
ru,mapo_enesru_llama3_8b_npo,1.118012,0.370812,community,4479,9,796,0,805,1.118012,0.28689,0.013794
ru,mapo_enesru_llama3_8b_dpo_250426,19.68944,1.401032,community,1529,158,646,1,805,19.68944,15.15344,0.240184
ru,mapo_enesru_llama3_8b_npo_checkpoint-1,18.9441,1.38058,community,1688,152,652,1,805,18.9441,14.12723,0.226429
ru,mapo_enesru_llama3_8b_npo_checkpoint-2,19.68944,1.401032,community,1616,158,646,1,805,19.68944,14.48038,0.281468
ru,mapo_enesru_llama3_8b_npo_checkpoint-3,18.07453,1.355686,community,1638,145,659,1,805,18.07453,12.98617,0.257673
ru,mapo_enesru_llama3_8b_npo_checkpoint-4,17.82609,1.348361,community,1610,143,661,1,805,17.82609,13.02631,0.231475
ru,mapo_enesru_llama3_8b_npo_checkpoint-5,18.75776,1.373936,community,1637,150,653,2,805,18.75776,13.0988,0.223111
,Training samples: 4594,,,,,,,,,,,
