language,layer,cosine_sim_mean,cosine_sim_std,cosine_sim_mean_pm_std,cosine_sim_n_seeds,cosine_sim_adjusted_mean,cosine_sim_adjusted_std,cosine_sim_adjusted_mean_pm_std,cosine_sim_adjusted_n_seeds
fr,23,0.7227984468142191,0.004662426179130386,0.722798 +- 0.004662,3,0.4107307394345601,0.004017637051390665,0.410731 +- 0.004018,3
fr,24,0.7031489014625549,0.004474293334662942,0.703149 +- 0.004474,3,0.3792465925216675,0.003417645602300521,0.379247 +- 0.003418,3
fr,25,0.697425901889801,0.004727312560870981,0.697426 +- 0.004727,3,0.37430606285731,0.0032133609471190496,0.374306 +- 0.003213,3
fr,26,0.6612478295962015,0.004636445347317011,0.661248 +- 0.004636,3,0.34027454257011414,0.0030456047600263105,0.340275 +- 0.003046,3
fr,27,0.6445017059644064,0.004430705175938488,0.644502 +- 0.004431,3,0.329393873612086,0.0029814608846169583,0.329394 +- 0.002981,3
fr,28,0.6307366291681925,0.004366202012250094,0.630737 +- 0.004366,3,0.3145883282025655,0.0030319318800410126,0.314588 +- 0.003032,3
fr,29,0.5997689763704935,0.004743274447983868,0.599769 +- 0.004743,3,0.3140230178833008,0.003384559486913338,0.314023 +- 0.003385,3
fr,30,0.5947743455568949,0.0048516139426904884,0.594774 +- 0.004852,3,0.30911781390508014,0.004142082138637367,0.309118 +- 0.004142,3
fr,31,0.5845986604690552,0.006082834703851214,0.584599 +- 0.006083,3,0.31399595737457275,0.00542870142599433,0.313996 +- 0.005429,3
ru,0,0.6809567411740621,0.01116177932758404,0.680957 +- 0.011162,3,0.35018683473269147,0.007185902456895002,0.350187 +- 0.007186,3
ru,1,0.6478723684946696,0.010868572153386541,0.647872 +- 0.010869,3,0.37749489148457843,0.010711115848154163,0.377495 +- 0.010711,3
ru,2,0.689601997534434,0.008722018464586633,0.689602 +- 0.008722,3,0.3663637638092041,0.009331154211289798,0.366364 +- 0.009331,3
ru,3,0.6752815047899882,0.007120257547866221,0.675282 +- 0.007120,3,0.40430686871210736,0.007301330569589323,0.404307 +- 0.007301,3
ru,4,0.6855212847391764,0.005557679523545543,0.685521 +- 0.005558,3,0.43437660733858746,0.006946687698611515,0.434377 +- 0.006947,3
ru,5,0.7097034454345703,0.005370465793850028,0.709703 +- 0.005370,3,0.4443041185537974,0.006384014270357062,0.444304 +- 0.006384,3
ru,6,0.716885526974996,0.005645417889265841,0.716886 +- 0.005645,3,0.47938374678293866,0.006595406130384281,0.479384 +- 0.006595,3
ru,7,0.7343038320541382,0.004834229416559476,0.734304 +- 0.004834,3,0.5062839388847351,0.006201281908399534,0.506284 +- 0.006201,3
ru,8,0.7404592434565226,0.004293662124237014,0.740459 +- 0.004294,3,0.5073376297950745,0.006053472158837459,0.507338 +- 0.006053,3
ru,9,0.7516850233078003,0.003927870396592395,0.751685 +- 0.003928,3,0.5028375784556071,0.005564977814395616,0.502838 +- 0.005565,3
ru,10,0.7537109851837158,0.003944286060846225,0.753711 +- 0.003944,3,0.5166896382967631,0.005604521830967091,0.516690 +- 0.005605,3
ru,11,0.7520642677942911,0.003959353267867325,0.752064 +- 0.003959,3,0.5168404777844747,0.005750507558076739,0.516840 +- 0.005751,3
ru,12,0.7695360581080118,0.003011236289846264,0.769536 +- 0.003011,3,0.5219757159550985,0.0051183306480006695,0.521976 +- 0.005118,3
ru,13,0.7660854458808899,0.003638885453167716,0.766085 +- 0.003639,3,0.5409035881360372,0.005110468882800622,0.540904 +- 0.005110,3
ru,14,0.7633040547370911,0.004219324438986087,0.763304 +- 0.004219,3,0.5415968696276346,0.005898582322822714,0.541597 +- 0.005899,3
ru,15,0.769308884938558,0.0038816323569873636,0.769309 +- 0.003882,3,0.5411845246950785,0.006106862640039525,0.541185 +- 0.006107,3
ru,16,0.7615563273429871,0.003949484035317081,0.761556 +- 0.003949,3,0.5377294421195984,0.005081364894075034,0.537729 +- 0.005081,3
ru,17,0.7534584999084473,0.00407313904239645,0.753458 +- 0.004073,3,0.5215102632840475,0.00597492260441982,0.521510 +- 0.005975,3
ru,18,0.7509460846583048,0.0038601335554877074,0.750946 +- 0.003860,3,0.4919826189676921,0.005965638172048419,0.491983 +- 0.005966,3
ru,19,0.7325876553853353,0.003749642526125252,0.732588 +- 0.003750,3,0.4814706047375997,0.005462846611356555,0.481471 +- 0.005463,3
ru,20,0.7161197662353516,0.0036459658176343883,0.716120 +- 0.003646,3,0.456500122944514,0.005821272378691477,0.456500 +- 0.005821,3
ru,21,0.7058055400848389,0.0031528602220434274,0.705806 +- 0.003153,3,0.43440743287404376,0.005475076461836471,0.434407 +- 0.005475,3
ru,22,0.6969664295514425,0.002772898124507448,0.696966 +- 0.002773,3,0.4067372679710388,0.005283222637911006,0.406737 +- 0.005283,3
ru,23,0.6983020106951395,0.0027050041889594566,0.698302 +- 0.002705,3,0.3848161498705546,0.0049367198816685845,0.384816 +- 0.004937,3
ru,24,0.6740650534629822,0.0028164866621099845,0.674065 +- 0.002816,3,0.3521688977877299,0.004353433342007001,0.352169 +- 0.004353,3
ru,25,0.671953539053599,0.003190966948236312,0.671954 +- 0.003191,3,0.34632277488708496,0.004034066339222943,0.346323 +- 0.004034,3
ru,26,0.6643640398979187,0.0029158192357308464,0.664364 +- 0.002916,3,0.31999321778615314,0.00384340848940678,0.319993 +- 0.003843,3
ru,27,0.6381027301152548,0.0030812627742578575,0.638103 +- 0.003081,3,0.3078910708427429,0.0035517423464913366,0.307891 +- 0.003552,3
ru,28,0.6331367691357931,0.0030441972325537443,0.633137 +- 0.003044,3,0.2969360152880351,0.0035396016242621228,0.296936 +- 0.003540,3
ru,29,0.6177109082539877,0.0035154466711406797,0.617711 +- 0.003515,3,0.301674743493398,0.003624477043372025,0.301675 +- 0.003624,3
ru,30,0.570145308971405,0.0037710012830229666,0.570145 +- 0.003771,3,0.28642505407333374,0.004143304172138009,0.286425 +- 0.004143,3
ru,31,0.5212986866633097,0.004868939067179858,0.521299 +- 0.004869,3,0.2698204616705577,0.004917832799819186,0.269820 +- 0.004918,3
